         10x10M-JK                (10x10M-JK.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.1960      0.1301       0.001       0.507       0.485       0.600       0.057       2.159     367.072        4.31      23334.    0.5318  
        0.00      0.0404      0.0596      0.1942      0.1317       0.001       0.513       0.481       0.607       0.058       2.140     359.451        4.31      23371.    0.5185  
        0.08      0.0809      0.1166      0.1924      0.1334       0.001       0.520       0.477       0.615       0.059       2.120     351.573        4.31      23412.    0.5047  
        0.11      0.1213      0.1709      0.1904      0.1351       0.001       0.526       0.472       0.623       0.059       2.098     343.483        4.31      23458.    0.4905  
        0.15      0.1617      0.2224      0.1882      0.1369       0.001       0.533       0.466       0.631       0.060       2.074     335.225        4.32      23509.    0.4760  
        0.19      0.2021      0.2710      0.1858      0.1386       0.001       0.540       0.460       0.639       0.061       2.047     326.841        4.32      23565.    0.4611  
        0.23      0.2426      0.3168      0.1831      0.1402       0.001       0.546       0.454       0.646       0.062       2.017     318.372        4.32      23626.    0.4459  
        0.26      0.2830      0.3597      0.1801      0.1417       0.001       0.552       0.446       0.653       0.062       1.984     309.855        4.33      23692.    0.4303  
        0.30      0.3234      0.3997      0.1767      0.1430       0.001       0.557       0.438       0.659       0.063       1.947     301.320        4.33      23764.    0.4145  
        0.34      0.3639      0.4370      0.1728      0.1439       0.001       0.561       0.428       0.663       0.063       1.904     292.794        4.34      23841.    0.3984  
        0.38      0.4043      0.4715      0.1685      0.1445       0.001       0.563       0.417       0.666       0.064       1.856     284.297        4.35      23924.    0.3819  
        0.42      0.4447      0.5032      0.1635      0.1445       0.001       0.563       0.405       0.666       0.064       1.801     275.857        4.35      24013.    0.3650  
        0.45      0.4851      0.5323      0.1578      0.1438       0.001       0.560       0.391       0.663       0.063       1.739     267.503        4.36      24107.    0.3478  
        0.49      0.5256      0.5589      0.1515      0.1424       0.001       0.555       0.375       0.656       0.063       1.669     259.255        4.37      24207.    0.3302  
        0.53      0.5660      0.5830      0.1444      0.1402       0.001       0.546       0.358       0.646       0.062       1.591     251.108        4.38      24312.    0.3123  
        0.57      0.6064      0.6045      0.1368      0.1372       0.001       0.535       0.339       0.632       0.060       1.507     243.021        4.39      24423.    0.2942  
        0.61      0.6469      0.6233      0.1286      0.1334       0.001       0.520       0.318       0.615       0.059       1.417     234.927        4.40      24539.    0.2757  
        0.64      0.6873      0.6392      0.1199      0.1289       0.001       0.502       0.297       0.594       0.057       1.321     226.738        4.41      24661.    0.2569  
        0.68      0.7277      0.6518      0.1108      0.1237       0.001       0.482       0.274       0.570       0.054       1.220     218.346        4.43      24788.    0.2378  
        0.72      0.7681      0.6605      0.1013      0.1178       0.001       0.459       0.251       0.543       0.052       1.116     209.622        4.44      24919.    0.2184  
        0.76      0.8086      0.6647      0.0915      0.1114       0.001       0.434       0.227       0.513       0.049       1.009     200.411        4.45      25056.    0.1984  
        0.79      0.8490      0.6635      0.0815      0.1044       0.001       0.406       0.202       0.481       0.046       0.899     190.516        4.47      25198.    0.1781  
        0.83      0.8894      0.6555      0.0714      0.0968       0.001       0.377       0.177       0.446       0.043       0.786     179.676        4.48      25344.    0.1571  
        0.87      0.9299      0.6390      0.0611      0.0889       0.001       0.346       0.151       0.410       0.039       0.673     167.536        4.50      25495.    0.1355  
        0.91      0.9703      0.6112      0.0507      0.0805       0.000       0.314       0.126       0.371       0.035       0.559     153.582        4.51      25651.    0.1132  
        0.95      1.0107      0.5681      0.0403      0.0718       0.000       0.280       0.100       0.331       0.032       0.444     137.039        4.53      25812.    0.0901  
        0.98      1.0511      0.5030      0.0300      0.0627       0.000       0.244       0.074       0.289       0.028       0.331     116.663        4.55      25977.    0.0661  
